alpha_type,iter,alpha,status,X_1_1,X_1_2,X_1_3,X_1_4,X_1_5,X_1_6,X_1_7,X_1_8,X_1_9,X_1_10,X_1_11,X_1_12,X_2_1,X_2_2,X_2_3,X_2_4,X_2_5,X_2_6,X_2_7,X_2_8,X_2_9,X_2_10,X_2_11,X_2_12,Y_1_1,Y_1_2,Y_1_3,Y_1_4,Y_1_5,Y_1_6,Y_1_7,Y_1_8,Y_1_9,Y_1_10,Y_1_11,Y_1_12,Y_2_1,Y_2_2,Y_2_3,Y_2_4,Y_2_5,Y_2_6,Y_2_7,Y_2_8,Y_2_9,Y_2_10,Y_2_11,Y_2_12,obj_value,f1,f2,f3
alpha_lin,19,0.01901901901901902,Optimal,1500,113,113,443,113,113,258,1277,113,113,386,113,1500,113,113,443,113,113,978,556,113,113,386,114,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.9952682385003222,9497821.6,24.0,9310.0
alpha_lin,20,0.02002002002002002,Optimal,1500,113,113,443,113,113,258,1277,113,113,386,113,1500,113,113,443,113,113,978,556,113,113,386,114,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.9950191984213902,9497821.6,24.0,9310.0
alpha_lin,21,0.02102102102102102,Optimal,1500,113,113,443,113,113,258,1277,113,113,386,113,1500,113,113,443,113,113,978,556,113,113,386,114,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.9947701583424606,9497821.6,24.0,9310.0
alpha_lin,22,0.022022022022022022,Optimal,1500,113,113,443,113,113,258,1277,113,113,386,113,1500,113,113,443,113,113,978,556,113,113,386,114,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.9945211182635312,9497821.6,24.0,9310.0
alpha_lin,23,0.023023023023023025,Optimal,1500,113,113,443,113,113,258,1277,113,113,386,113,1500,113,113,443,113,113,978,556,113,113,386,114,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.9942720781845991,9497821.6,24.0,9310.0
alpha_lin,24,0.024024024024024024,Optimal,1500,113,113,443,113,113,258,1277,113,113,386,113,1500,113,113,443,113,113,978,556,113,113,386,114,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.9940230381056693,9497821.6,24.0,9310.0
alpha_lin,25,0.025025025025025023,Optimal,1500,113,113,443,113,113,258,1277,113,113,386,113,1500,113,113,443,113,113,978,556,113,113,386,114,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.9937739980267398,9497821.6,24.0,9310.0
alpha_lin,26,0.026026026026026026,Optimal,1500,113,113,443,113,113,258,1277,113,113,386,113,1500,113,113,443,113,113,978,556,113,113,386,114,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.9935249579478077,9497821.6,24.0,9310.0
alpha_lin,27,0.02702702702702703,Optimal,1500,113,113,443,113,113,258,1277,113,113,386,113,1500,113,113,443,113,113,978,556,113,113,386,114,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.993275917868878,9497821.6,24.0,9310.0
alpha_lin,28,0.028028028028028028,Optimal,1500,113,113,443,113,113,258,1277,113,113,386,113,1500,113,113,443,113,113,978,556,113,113,386,114,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.993026877789946,9497821.6,24.0,9310.0
alpha_lin,29,0.029029029029029027,Optimal,1500,113,113,443,113,113,258,1277,113,113,386,113,1500,113,113,443,113,113,978,556,113,113,386,114,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.9927778377110162,9497821.6,24.0,9310.0
alpha_lin,30,0.03003003003003003,Optimal,1500,113,113,443,113,113,258,1277,113,113,386,113,1500,113,113,443,113,113,978,556,113,113,386,114,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.9925287976320867,9497821.6,24.0,9310.0
alpha_lin,31,0.031031031031031032,Optimal,1500,113,113,443,113,113,258,1277,113,113,386,113,1500,113,113,443,113,113,978,556,113,113,386,114,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.9922797575531547,9497821.6,24.0,9310.0
alpha_lin,32,0.03203203203203203,Optimal,1500,113,113,443,113,113,258,1277,113,113,386,113,1500,113,113,443,113,113,978,556,113,113,386,114,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.992030717474225,9497821.6,24.0,9310.0
alpha_lin,33,0.03303303303303303,Optimal,1500,113,113,443,113,113,258,1277,113,113,386,113,1500,113,113,443,113,113,978,556,113,113,386,114,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.9917816773952955,9497821.6,24.0,9310.0
alpha_lin,34,0.03403403403403403,Optimal,1500,113,113,443,113,113,258,1277,113,113,386,113,1500,113,113,443,113,113,978,556,113,113,386,114,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.9915326373163632,9497821.6,24.0,9310.0
alpha_lin,35,0.035035035035035036,Optimal,1500,113,113,443,113,113,258,1277,113,113,386,113,1500,113,113,443,113,113,978,556,113,113,386,114,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.9912835972374336,9497821.6,24.0,9310.0
alpha_lin,36,0.036036036036036036,Optimal,1500,113,113,443,113,113,258,1277,113,113,386,113,1500,113,113,443,113,113,978,556,113,113,386,114,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.9910345571585042,9497821.6,24.0,9310.0
alpha_lin,37,0.037037037037037035,Optimal,1500,113,113,443,113,113,258,1277,113,113,386,113,1500,113,113,443,113,113,978,556,113,113,386,114,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.990785517079572,9497821.6,24.0,9310.0
alpha_lin,38,0.03803803803803804,Optimal,1500,113,113,443,113,113,258,1277,113,113,386,113,1500,113,113,443,113,113,978,556,113,113,386,114,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.9905364770006425,9497821.6,24.0,9310.0
alpha_lin,39,0.03903903903903904,Optimal,1500,113,113,443,113,113,258,1277,113,113,386,113,1500,113,113,443,113,113,978,556,113,113,386,114,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.9902874369217128,9497821.6,24.0,9310.0
alpha_lin,40,0.04004004004004004,Optimal,1500,113,113,443,113,113,258,1277,113,113,386,113,1500,113,113,443,113,113,978,556,113,113,386,114,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.9900383968427808,9497821.6,24.0,9310.0
alpha_lin,41,0.04104104104104104,Optimal,1500,113,113,443,113,113,258,1277,113,113,386,113,1500,113,113,443,113,113,978,556,113,113,386,114,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.9897893567638512,9497821.6,24.0,9310.0
alpha_lin,42,0.04204204204204204,Optimal,1500,113,113,443,113,113,258,1277,113,113,386,113,1500,113,113,443,113,113,978,556,113,113,386,114,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.9895403166849215,9497821.6,24.0,9310.0
alpha_lin,43,0.043043043043043044,Optimal,1500,113,113,443,113,113,258,1277,113,113,386,113,1500,113,113,443,113,113,978,556,113,113,386,114,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.9892912766059895,9497821.6,24.0,9310.0
alpha_lin,44,0.044044044044044044,Optimal,1500,113,113,443,113,113,258,1277,113,113,386,113,1500,113,113,443,113,113,978,556,113,113,386,114,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.9890422365270599,9497821.6,24.0,9310.0
alpha_lin,45,0.04504504504504504,Optimal,1500,113,113,443,113,113,258,1277,113,113,386,113,1500,113,113,443,113,113,978,556,113,113,386,114,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.9887931964481302,9497821.6,24.0,9310.0
alpha_lin,46,0.04604604604604605,Optimal,1500,113,113,443,113,113,258,1277,113,113,386,113,1500,113,113,443,113,113,978,556,113,113,386,114,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.9885441563691982,9497821.6,24.0,9310.0
alpha_lin,47,0.04704704704704705,Optimal,1500,113,113,443,113,113,258,1277,113,113,386,113,1500,113,113,443,113,113,978,556,113,113,386,114,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.9882951162902686,9497821.6,24.0,9310.0
alpha_lin,48,0.04804804804804805,Optimal,1500,113,113,443,113,113,258,1277,113,113,386,113,1500,113,113,443,113,113,978,556,113,113,386,114,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.9880460762113389,9497821.6,24.0,9310.0
alpha_lin,49,0.04904904904904905,Optimal,1500,113,113,443,113,113,258,1277,113,113,386,113,1500,113,113,443,113,113,978,556,113,113,386,114,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.9877970361324069,9497821.6,24.0,9310.0
alpha_lin,50,0.050050050050050046,Optimal,1500,113,113,443,113,113,258,1277,113,113,386,113,1500,113,113,443,113,113,978,556,113,113,386,114,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.9875479960534772,9497821.6,24.0,9310.0
alpha_lin,51,0.05105105105105105,Optimal,1500,113,113,443,113,113,258,1277,113,113,386,113,1500,113,113,443,113,113,978,556,113,113,386,114,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.9872989559745476,9497821.6,24.0,9310.0
alpha_lin,52,0.05205205205205205,Optimal,1500,113,113,443,113,113,258,1277,113,113,386,113,1500,113,113,443,113,113,978,556,113,113,386,114,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.9870499158956155,9497821.6,24.0,9310.0
alpha_lin,53,0.05305305305305305,Optimal,1500,113,113,443,113,113,258,1277,113,113,386,113,1500,113,113,443,113,113,978,556,113,113,386,114,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.986800875816686,9497821.6,24.0,9310.0
alpha_lin,54,0.05405405405405406,Optimal,1500,113,113,443,113,113,258,1277,113,113,386,113,1500,113,113,443,113,113,978,556,113,113,386,114,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.9865518357377565,9497821.6,24.0,9310.0
alpha_lin,55,0.055055055055055056,Optimal,1500,113,113,443,113,113,258,1277,113,113,386,113,1500,113,113,443,113,113,978,556,113,113,386,114,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.9863027956588244,9497821.6,24.0,9310.0
alpha_lin,56,0.056056056056056056,Optimal,1500,113,113,443,113,113,258,1277,113,113,386,113,1500,113,113,443,113,113,978,556,113,113,386,114,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.9860537555798947,9497821.6,24.0,9310.0
alpha_lin,57,0.057057057057057055,Optimal,1500,113,113,443,113,113,258,1277,113,113,386,113,1500,113,113,443,113,113,978,556,113,113,386,114,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.9858047155009627,9497821.6,24.0,9310.0
alpha_lin,58,0.058058058058058054,Optimal,1500,113,113,443,113,113,258,1277,113,113,386,113,1500,113,113,443,113,113,978,556,113,113,386,114,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.9855556754220332,9497821.6,24.0,9310.0
alpha_lin,59,0.05905905905905906,Optimal,1500,113,113,443,113,113,258,1277,113,113,386,113,1500,113,113,443,113,113,978,556,113,113,386,114,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.9853066353431035,9497821.6,24.0,9310.0
alpha_lin,60,0.06006006006006006,Optimal,1500,113,113,443,113,113,258,1277,113,113,386,113,1500,113,113,443,113,113,978,556,113,113,386,114,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.9850575952641715,9497821.6,24.0,9310.0
alpha_lin,61,0.06106106106106106,Optimal,1500,113,113,443,113,113,258,1277,113,113,386,113,1500,113,113,443,113,113,978,556,113,113,386,114,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.9848085551852419,9497821.6,24.0,9310.0
alpha_lin,62,0.062062062062062065,Optimal,1500,113,113,443,113,113,258,1277,113,113,386,113,1500,113,113,443,113,113,978,556,113,113,386,114,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.9845595151063121,9497821.6,24.0,9310.0
alpha_lin,63,0.06306306306306306,Optimal,1500,113,113,443,113,113,258,1277,113,113,386,113,1500,113,113,443,113,113,978,556,113,113,386,114,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.98431047502738,9497821.6,24.0,9310.0
alpha_lin,64,0.06406406406406406,Optimal,1500,113,113,443,113,113,258,1277,113,113,386,113,1500,113,113,443,113,113,978,556,113,113,386,114,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.9840614349484504,9497821.6,24.0,9310.0
alpha_lin,65,0.06506506506506507,Optimal,1500,113,113,443,113,113,258,1277,113,113,386,113,1500,113,113,443,113,113,978,556,113,113,386,114,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.9838123948695209,9497821.6,24.0,9310.0
alpha_lin,66,0.06606606606606606,Optimal,1500,113,113,443,113,113,258,1277,113,113,386,113,1500,113,113,443,113,113,978,556,113,113,386,114,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.9835633547905888,9497821.6,24.0,9310.0
alpha_lin,67,0.06706706706706707,Optimal,1500,113,113,443,113,113,258,1277,113,113,386,113,1500,113,113,443,113,113,978,556,113,113,386,114,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.9833143147116592,9497821.6,24.0,9310.0
alpha_lin,68,0.06806806806806806,Optimal,1500,113,113,443,113,113,258,1277,113,113,386,113,1500,113,113,443,113,113,978,556,113,113,386,114,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.9830652746327296,9497821.6,24.0,9310.0
alpha_lin,69,0.06906906906906907,Optimal,1500,113,113,443,113,113,258,1277,113,113,386,113,1500,113,113,443,113,113,978,556,113,113,386,114,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.9828162345537974,9497821.6,24.0,9310.0
alpha_lin,70,0.07007007007007007,Optimal,1500,113,113,443,113,113,258,1277,113,113,386,113,1500,113,113,443,113,113,978,556,113,113,386,114,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.9825671944748678,9497821.6,24.0,9310.0
alpha_lin,71,0.07107107107107107,Optimal,1500,113,113,443,113,113,258,1277,113,113,386,113,1500,113,113,443,113,113,978,556,113,113,386,114,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.9823181543959385,9497821.6,24.0,9310.0
alpha_lin,72,0.07207207207207207,Optimal,1500,113,113,443,113,113,258,1277,113,113,386,113,1500,113,113,443,113,113,978,556,113,113,386,114,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.9820691143170063,9497821.6,24.0,9310.0
alpha_lin,73,0.07307307307307308,Optimal,1500,113,113,443,113,113,258,1277,113,113,386,113,1500,113,113,443,113,113,978,556,113,113,386,114,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.9818200742380766,9497821.6,24.0,9310.0
alpha_lin,74,0.07407407407407407,Optimal,1500,113,113,443,113,113,258,1277,113,113,386,113,1500,113,113,443,113,113,978,556,113,113,386,114,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.981571034159147,9497821.6,24.0,9310.0
